bank_rssd_id,bank_name,observations,years,scenarios,mean_capital_depletion,max_capital_depletion,mean_credit_loss_ratio,mean_ppnr_ratio
2816906,DB USA Corporation,13,9,3,7.000307692307692,9.251,0.014972700238457419,0.003169440528798643
1574834,"Credit Suisse Holdings (USA), Inc.",10,6,3,5.84,7.5,0.001917906815553192,0.03026704643858611
3232316,HSBC North America Holdings Inc.,15,9,3,5.593333333333333,8.5,0.03279235215161503,-9.692150144885725e-4
2162966,Morgan Stanley,17,11,3,5.076470588235294,9.2,0.01433353404541537,0.030766315383465553
4846998,UBS Americas Holding LLC,13,9,3,4.719307692307693,9.251,0.02483468870769647,0.04322702519148954
2380443,"The Goldman Sachs Group, Inc.",17,11,3,4.564705882352941,6.5,0.019357132414313895,0.03286447491253136
1075612,"First Citizens Bancshares, Inc.",1,1,1,4.499999999999999,4.499999999999999,0.06981858163826278,0.03573391973611874
1575569,"BNP Paribas USA, Inc.",6,4,3,4.3500000000000005,5.4,0.050040310735320406,0.014920829655243177
1245415,BMO Financial Corp.,15,10,3,4.133333333333333,6,0.04387319977963255,0.016355545082802254
5280254,RBC US Group Holdings LLC,9,7,2,4.022222222222222,6.299999999999999,0.04667270208245061,0.021937477079455155
1032473,Deutsche Bank Trust Corporation,4,2,2,3.525000000000002,4.200000000000003,0.030227555756821012,0.04675648137665572
2277860,Capital One Financial Corporation,17,11,3,3.488235294117647,5.3999999999999995,0.11801864179734094,0.09887843222720738
1951350,Citigroup Inc.,17,11,3,3.3588235294117648,6.100000000000001,0.03900250488324534,0.04246943861796604
3226762,RBC USA Holdco Corporation,2,1,2,3.3,4.4,0.03425655976676385,0.03061224489795918
1027004,Zions Bancorporation,4,2,2,3.1249999999999996,5.6,0.0449947003214137,0.029175052460381146
1132449,"Citizens Financial Group, Inc.",13,9,3,2.938461538461538,4.3999999999999995,0.047151427616796436,0.02865401604973475
NA,35 participating firms,2,1,2,2.9000000000000004,4.4,0.034455638738451734,0.04773614208346608
1378434,MUFG Americas Holdings Corporation,10,5,3,2.87,4.4,0.038444625925388304,0.021408451137158457
NA,33 participating bank holding companies,2,1,2,2.8500000000000005,3.9,0.0331888151243864,0.04473116486540005
1078529,"BBVA Compass Bancshares, Inc.",6,3,2,2.816666666666667,4.200000000000001,0.04486402255375327,0.02739693622181157
1037003,M&T Bank Corporation,14,10,3,2.8,4.7,0.05624163548815764,0.042754865231064594
NA,31 participating banks,1,1,1,2.799999999999999,2.799999999999999,0.04966945176088891,0.03603760749358963
5006575,Barclays US LLC,13,9,3,2.7692307692307696,4.199999999999999,0.046550228601316926,0.05625366224930552
NA,33 participating banks,1,1,1,2.700000000000001,2.700000000000001,0.04145638712910269,0.03686602956440817
5005998,BancWest Corporation,2,1,2,2.6499999999999995,4,0.04744069912609238,0.03433208489388265
1039502,JPMorgan Chase & Co.,17,11,3,2.552941176470588,4.999999999999999,0.03842755854779962,0.045428633060072346
NA,34 participating bank holding companies,2,1,2,2.5500000000000007,3.3000000000000007,0.032861995012980615,0.04917755225595928
NA,23 participating banks,1,1,1,2.5,2.5,0.04202138730042319,0.03458835888643323
1025608,BancWest Corporation,2,1,2,2.4000000000000012,3.700000000000001,0.049586776859504134,0.039256198347107446
NA,23 participating firms,1,1,1,2.4000000000000004,2.4000000000000004,0.0381184804440317,0.03222253417705116
NA,33 participating firms,3,2,2,2.4,2.5999999999999996,0.04624327319865751,0.03740393207431375
1562859,Ally Financial Inc.,12,8,3,2.2916666666666665,3.2,0.04951123177120769,0.03802199798518394
1120754,Wells Fargo & Company,17,11,3,2.205882352941176,3.899999999999999,0.037543508179560293,0.04232308235044859
1068025,KeyCorp,12,8,3,2.158333333333333,4.5,0.040775227302738686,0.0333277606427081
1073757,Bank of America Corporation,17,11,3,2.0823529411764703,4,0.031773055518422376,0.030059460127457194
3846375,Discover Financial Services,11,7,3,2.0727272727272723,3.3999999999999986,0.13494957747389597,0.16295625467148667
3606542,TD Group US Holdings LLC,17,11,3,2.0705882352941174,4.800000000000001,0.04229856354608625,0.03347262824185874
NA,18 participating firms,2,1,2,2.000000000000001,3.1000000000000014,0.02982764084936249,0.043498135010604844
1068191,Huntington Bancshares Incorporated,12,8,3,1.966666666666667,4.800000000000001,0.04529999915083372,0.039335736691179034
1070345,Fifth Third Bancorp,12,8,3,1.9000000000000001,3.0999999999999996,0.04711510767214976,0.03934163251752127
1131787,"SunTrust Banks, Inc.",6,3,2,1.8999999999999997,3.0999999999999996,0.031967280050063,0.035940651338879664
3242838,Regions Financial Corporation,13,8,3,1.8846153846153846,3.6000000000000005,0.04737924727482224,0.039633462180754114
1074156,BB&T Corporation,6,3,2,1.8499999999999994,3.4000000000000004,0.035410143601692035,0.04938334132201315
NA,22 participating banks,1,1,1,1.8000000000000007,1.8000000000000007,0.04552865922488398,0.04527781261758435
1074156,Truist Financial Corporation,9,7,2,1.788888888888889,2.3,0.04490412409174985,0.03208276313959463
NA,32 participating banks,1,1,1,1.6000000000000014,1.6000000000000014,0.04965948012110905,0.0571374079165905
1069778,"The PNC Financial Services Group, Inc.",17,11,3,1.511764705882353,4,0.03568414289414056,0.036921611478791985
1111435,State Street Corporation,17,11,3,1.511764705882353,6.6000000000000005,0.009304860402870221,0.04359792767525656
1199844,Comerica Incorporated,4,2,2,1.1999999999999997,2.1999999999999993,0.02542144906743185,0.025448350071736008
1119794,U.S. Bancorp,17,11,3,1.0941176470588236,2.4000000000000004,0.04560159347966273,0.04959797065782092
1036967,CIT Group Inc.,2,1,2,0.8999999999999995,1.0999999999999996,0.032507739938080496,0.027089783281733747
1275216,American Express Company,13,9,3,0.6846153846153847,1.700000000000001,0.08923654292381641,0.14663794171379677
3981856,"Santander Holdings USA, Inc.",12,8,3,0.6083333333333334,2.3000000000000007,0.07162353622917494,0.06562917275535435
1199611,Northern Trust Corporation,17,11,3,0.5911176470588237,2.200000000000001,0.024524664813862743,0.040711079918519626
3587146,The Bank of New York Mellon Corporation,17,11,3,0.5381764705882353,2.9000000000000004,0.009512412000624486,0.05931560199540522
4504654,Synchrony Financial,1,1,1,0.09999999999999964,0.09999999999999964,0.15634525205158237,0.16941244239631306
1026632,The Charles Schwab Corporation,5,5,1,-0.5407999999999998,-0.5,0.01071562655489843,0.08983852107738183
