model_name,scenario_label,observations,mean_actual,mean_predicted,mean_residual,rmse,mae
M1_scenario_only,Supervisory Adverse,124,1.606040322580645,1.6060403225806574,-1.2344960263486264e-14,1.2746671823630842,0.947326222684707
M1_scenario_only,Supervisory Alternative Severe,34,2.9544411764705885,2.9544411764705907,-2.3445792259251055e-15,2.148627676820397,1.6907802768166094
M1_scenario_only,Supervisory Severely Adverse,362,3.02389226519337,3.0238922651933695,6.607050168252397e-16,2.014314358211518,1.5566459357162479
M2_losses_ppnr,Supervisory Adverse,124,1.606040322580645,1.6060403225806545,-9.542542030278341e-15,1.253071899107539,0.9972547547069381
M2_losses_ppnr,Supervisory Alternative Severe,34,2.9544411764705885,2.95444117647059,-1.3715237202689607e-15,1.7525856768150716,1.392214161616199
M2_losses_ppnr,Supervisory Severely Adverse,362,3.02389226519337,3.023892265193371,-8.486053399077669e-16,1.8063990151515137,1.426962361808551
M3_structural_controls,Supervisory Adverse,124,1.606040322580645,1.6060403225806523,-7.343613459547206e-15,1.1409456680602441,0.8695422789071997
M3_structural_controls,Supervisory Alternative Severe,34,2.9544411764705885,2.9544411764705885,5.871233786626926e-17,1.412830095012056,1.0732021424487332
M3_structural_controls,Supervisory Severely Adverse,362,3.02389226519337,3.0238922651933704,-1.2607294543813487e-17,1.6136380851859857,1.2462857064697859
M4_year_fixed_effects,Supervisory Adverse,124,1.606040322580645,1.606040322580657,-1.1980487997484301e-14,1.1997233187279541,0.9275722576989657
M4_year_fixed_effects,Supervisory Alternative Severe,34,2.9544411764705885,2.9544411764705796,8.627064847706679e-15,1.280866109989951,0.923391867650974
M4_year_fixed_effects,Supervisory Severely Adverse,362,3.02389226519337,3.0238922651933717,-1.6631313902027063e-15,1.439553344639705,1.076268016584801
M5_bank_fixed_effects,Supervisory Adverse,124,1.606040322580645,1.6060403225806508,-5.683522268311213e-15,0.8105305353046236,0.6064343500965648
M5_bank_fixed_effects,Supervisory Alternative Severe,34,2.9544411764705885,2.9544411764705867,1.6718891768363934e-15,0.8184408261485142,0.6137134054075551
M5_bank_fixed_effects,Supervisory Severely Adverse,362,3.02389226519337,3.0238922651933664,3.70352919602686e-15,0.9277575180680863,0.6655209122866547
M6_bank_year_fixed_effects,Supervisory Adverse,124,1.606040322580645,1.606040322580651,-6.011277958066664e-15,0.7486516174358003,0.5550649276221108
M6_bank_year_fixed_effects,Supervisory Alternative Severe,34,2.9544411764705885,2.9544411764705782,1.0040969313411367e-14,0.7360536291614442,0.5524569453291364
M6_bank_year_fixed_effects,Supervisory Severely Adverse,362,3.02389226519337,3.0238922651933704,-3.6604582164631047e-16,0.8100723807870349,0.5792456844344623
M7_log_amounts_bank_year_fixed_effects,Supervisory Adverse,124,1.606040322580645,1.606040322580661,-1.5799606107072272e-14,0.7121798578067949,0.5199583626929233
M7_log_amounts_bank_year_fixed_effects,Supervisory Alternative Severe,34,2.9544411764705885,2.954441176470583,5.1788556026650395e-15,0.783508728507839,0.5698447398605595
M7_log_amounts_bank_year_fixed_effects,Supervisory Severely Adverse,362,3.02389226519337,3.023892265193374,-3.917170635108404e-15,0.821399635406426,0.6031646569058406
