exercise_year,scenario_code,scenario_label,observations,banks,mean_actual_credit_loss_ratio,mean_predicted_credit_loss_ratio,mean_actual_ppnr_ratio,mean_predicted_ppnr_ratio,mean_actual_capital_depletion,mean_predicted_capital_depletion,mean_observed_cet1_min_ratio,mean_predicted_cet1_min_ratio,rmse_cet1_min_ratio
2015,2,Supervisory Adverse,34,34,0.029431249612415614,0.029329075155094562,0.04973567189016749,0.04735692817436404,1.6147058823529412,1.5527197270705697,10.885294117647058,10.947280272929431,0.6932038857644912
2015,3,Supervisory Severely Adverse,34,34,0.0453443868239954,0.04544656128131669,0.04068799796825867,0.04306674168406228,3.614705882352941,3.676692037635324,8.885294117647058,8.823307962364677,0.6755449151345065
2016,2,Supervisory Adverse,35,35,0.029909834211975486,0.029847786259042646,0.056021638020377865,0.05331766409364401,1.522857142857143,1.216467568611379,12.134285714285713,12.440675288531478,0.825133563546067
2016,3,Supervisory Severely Adverse,35,35,0.04490155971946771,0.04496360767240071,0.0446239088071429,0.04732788273387686,3.1314285714285712,3.437818145674341,10.525714285714287,10.219324711468516,0.7618118285023989
2017,2,Supervisory Adverse,36,36,0.02867389930680989,0.0300331042679541,0.04539226346029233,0.050575986053020085,1.7458055555555554,1.9755637572337297,11.122222222222222,10.88832513165516,0.6492611777154478
2017,3,Supervisory Severely Adverse,36,36,0.04652736820048973,0.04516816323934571,0.04980256900183112,0.04461884640910349,4.041666666666667,3.8119084649884964,8.822222222222223,9.051980423900392,1.2047902668641912
2018,2,Supervisory Adverse,19,19,0.021230264112320093,0.018952065759709445,0.043718330852187334,0.043134244559283136,1.4789473684210523,1.7189404798836225,12.715789473684211,12.47579636222164,0.874285823981522
2018,3,Supervisory Severely Adverse,19,19,0.032122080403940274,0.03440027875655107,0.037124369051574846,0.03770845534447917,3.7263157894736842,3.486322678011122,10.468421052631578,10.70841416409414,0.902160972211643
2019,3,Supervisory Severely Adverse,34,34,0.045128771217287936,0.045128771217287915,0.041629051253372074,0.04162905125337206,2.735294117647059,2.73529411764706,10.402941176470588,10.402941176470588,0.8215337127581549
2020,3,Supervisory Severely Adverse,35,35,0.050881597081613515,0.0498570677619083,0.03941680793930029,0.0393165124132548,2.7878714285714286,2.793539209567868,10.687142857142858,10.716460790432132,0.5785071787007978
2020,30,Supervisory Alternative Severe,34,34,0.05131062819053021,0.051310628190530325,0.03743745110606098,0.037437451106061025,2.9544411764705885,2.9544411764705782,10.361764705882353,10.442617647058833,0.9325781931114512
2021,3,Supervisory Severely Adverse,34,34,0.04551804211455523,0.0455180421145552,0.04630890265478219,0.04630890265478215,2.6911764705882355,2.691176470588235,10.941176470588236,10.941176470588236,0.9697455420639174
2022,3,Supervisory Severely Adverse,24,24,0.039393595402051,0.03939359540205097,0.03453190285839329,0.034531902858393276,3.0915833333333333,3.091583333333334,10.933333333333334,10.91675,0.6701748569807198
2023,3,Supervisory Severely Adverse,32,32,0.05308209558667328,0.053082095586673254,0.040202982721830344,0.04020298272183032,3.19534375,3.195343749999999,9.746875,9.870281250000001,1.146242085566679
2024,3,Supervisory Severely Adverse,23,23,0.04404232324380701,0.04404232324380698,0.047298314511431565,0.04729831451143154,2.3434782608695652,2.3434782608695643,12.18695652173913,12.243478260869566,1.0583475116694647
2025,3,Supervisory Severely Adverse,33,33,0.05182994742976109,0.05182994742976107,0.05962694374594479,0.059626943745944766,1.962090909090909,1.9620909090909078,11.463636363636363,11.42578787878788,0.4768829640473917
