threshold,observations,observed_below,predicted_below,correctly_classified,classification_accuracy,false_positive,false_negative
4.5,497,0,0,497,1,0,0
5,497,1,0,496,0.9979879275653923,0,1
5.5,497,7,0,490,0.9859154929577465,0,7
6,497,10,5,488,0.9818913480885312,2,7
6.5,497,19,11,481,0.9678068410462777,4,12
7,497,39,31,475,0.9557344064386318,7,15
7.5,497,60,60,459,0.9235412474849095,19,19
8,497,101,108,456,0.9175050301810865,24,17
8.5,497,146,142,463,0.93158953722334,15,19
9,497,179,180,460,0.9255533199195171,19,18
9.5,497,221,220,454,0.9134808853118712,21,22
10,497,268,272,455,0.9154929577464789,23,19
