expected_script,exists,status
01_data_availability_audit.R,TRUE,OK
02_regulatory_documentation_and_raw_data_ingestion.R,TRUE,OK
02b_download_regulatory_documentation.R,TRUE,OK
02c_fix_missing_regulatory_documentation.R,TRUE,OK
03_clean_federal_reserve_dfast_results.R,TRUE,OK
04_structure_fed_macro_scenarios.R,TRUE,OK
05_build_dfast_benchmark_dataset.R,TRUE,OK
06_capital_losses_transmission_layer.R,TRUE,OK
07_exploratory_analysis_transmission_layer.R,TRUE,OK
08_build_modelling_sample.R,TRUE,OK
09_estimate_credit_loss_model.R,TRUE,OK
10_estimate_ppnr_model.R,TRUE,OK
11_estimate_capital_depletion_model.R,TRUE,OK
12_integrated_stress_test_projection_engine.R,TRUE,OK
12b_fix_integrated_projection_join_keys.R,TRUE,OK
13_stress_test_results_bank_vulnerability_ranking.R,TRUE,OK
14_benchmark_validation_against_fed_results.R,TRUE,OK
15_robustness_sensitivity_model_risk_assessment.R,TRUE,OK
16_create_final_institutional_report.R,TRUE,OK
17_create_final_technical_pedagogical_manual.R,TRUE,OK
18_final_publication_checklist_repository_packaging.R,TRUE,OK
