macro_variable,n_periods,baseline_mean,severely_adverse_mean,mean_shock,max_adverse_shock,max_absolute_shock,period_of_max_absolute_shock
nominal_gdp_growth,13,4.3307692307692305,1.5384615384615383,-2.792307692307692,-7.9,7.9,1
real_gdp_growth,13,1.9923076923076923,0.423076923076923,-1.5692307692307694,-7.300000000000001,7.300000000000001,1
unemployment_rate,13,4.3999999999999995,8.7,4.3,5.7,5.7,7
nominal_disposable_income_growth,13,4.615384615384615,2.3461538461538463,-2.269230769230769,-4.800000000000001,4.800000000000001,1
real_disposable_income_growth,13,2.223076923076923,1.2538461538461538,-0.9692307692307693,-4,4,1
prime_rate,13,6.138461538461538,3.2846153846153845,-2.8538461538461535,-3.3000000000000003,3.3000000000000003,2
x3_month_treasury_rate,13,3.1384615384615384,0.2846153846153846,-2.853846153846154,-3.3,3.3,2
bbb_corporate_yield,13,5.476923076923077,6.553846153846154,1.076923076923077,2.8999999999999995,2.8999999999999995,2
cpi_inflation_rate,13,2.4076923076923076,1.3,-1.1076923076923078,-1.5,1.5,3
mortgage_rate,13,5.861538461538461,5.469230769230769,-0.39230769230769236,-0.6000000000000005,0.6000000000000005,12
